straat;geometry;huisnr;karakter;eigenaar;capaciteit;openbaar;ondergrond;bestemming;status;urid;naam;naamid;bezettingsinfo;bronid;betrokkenadressen;timestampbron;geo_point_2d
Korte Meer;"{""coordinates"": [[[3.722549864781119, 51.05090344236005], [3.722577066666226, 51.05089803641324], [3.722587788957448, 51.05091946819619], [3.722560587072341, 51.05092487526995], [3.722549864781119, 51.05090344236005]]], ""type"": ""Polygon""}";22A;Gent;Stad Gent;5;Ja;Natuursteentegels;Voetpad;Actief;mob/ftsst30005;;False;False;24690698_1;Korte Meer 22A;2025-09-22T09:55:19Z;51.05091145561507, 3.722568826777715
Tentoonstellingslaan;"{""coordinates"": [[[3.732447021982806, 51.04032634101024], [3.732460252370325, 51.040305474246], [3.732480112324621, 51.040310478135666], [3.732466881937171, 51.04033134489769], [3.732447021982806, 51.04032634101024]]], ""type"": ""Polygon""}";56;Nietje - Buitenmaats;Stad Gent;2;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst18474;;False;False;25006645_1;Tentoonstellingslaan 56;2025-03-26T09:01:25Z;51.040318409572265, 3.732463567153642
Leeuwstraat;"{""coordinates"": [[[3.732351460999574, 51.0401576172241], [3.73234158222636, 51.04014565732819], [3.732373197534474, 51.04013527841351], [3.732383076307622, 51.04014723718239], [3.732351460999574, 51.0401576172241]]], ""type"": ""Polygon""}";62;Nietje - Buitenmaats;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30015;;False;False;25006751_1;Leeuwstraat 62;2025-03-26T09:20:15Z;51.04014644762425, 3.732362329090758
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.72460999098511, 51.03651957379628], [3.724611233355162, 51.036501612771744], [3.724846249701468, 51.03650807277623], [3.724845007331415, 51.03652603379825], [3.72460999098511, 51.03651957379628]]], ""type"": ""Polygon""}";33;Parkeervak;Stad Gent;33;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst30022;;False;False;25007596_1;Karel Lodewijk Ledeganckstraat 33;2025-03-26T10:54:12Z;51.03651382328555, 3.7247281203405596
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724031428331438, 51.03650256572979], [3.724032670701423, 51.03648460469867], [3.724118131926023, 51.03648695461382], [3.72411688955597, 51.036504915644045], [3.724031428331438, 51.03650256572979]]], ""type"": ""Polygon""}";8;Parkeervak;Stad Gent;12;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst30023;;False;False;25007441_1;Karel Lodewijk Ledeganckstraat 8;2025-03-26T10:54:12Z;51.03649476017158, 3.72407478012836
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724378246303034, 51.03651367528725], [3.724379488673086, 51.03649571426043], [3.724578895801515, 51.0365011964528], [3.724577653431529, 51.0365191574775], [3.724378246303034, 51.03651367528725]]], ""type"": ""Polygon""}";33;Parkeervak;Stad Gent;28;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst30024;;False;False;25007594_1;Karel Lodewijk Ledeganckstraat 33;2025-03-26T10:54:12Z;51.03650743586943, 3.7244785710503336
Amanda Foketstraat;"{""coordinates"": [[[3.688669292986124, 51.0642214324482], [3.688675663838139, 51.06421338937113], [3.688701192161855, 51.06422141720546], [3.68869482130984, 51.064229460281126], [3.688669292986124, 51.0642214324482]]], ""type"": ""Polygon""}";11;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30026;;False;False;25009857_1;Amanda Foketstraat 11;2025-03-26T15:29:07Z;51.06422142482636, 3.688685242573711
Amanda Foketstraat;"{""coordinates"": [[[3.688589045583478, 51.06432444942406], [3.688594739105749, 51.064316207645376], [3.688620898945157, 51.06432338300041], [3.688615205422887, 51.06433162477782], [3.688589045583478, 51.06432444942406]]], ""type"": ""Polygon""}";15;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30027;;False;False;25009865_1;Amanda Foketstraat 15;2025-03-26T15:31:09Z;51.06432391621181, 3.688604972264047
Amanda Foketstraat;"{""coordinates"": [[[3.688800344609683, 51.06408778011605], [3.688808633364768, 51.06408046358775], [3.68883185391654, 51.06409090996394], [3.688823565161456, 51.06409822536146], [3.688800344609683, 51.06408778011605]]], ""type"": ""Polygon""}";1;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst30028;;False;False;25009853_1;Amanda Foketstraat 1;2025-03-26T15:24:04Z;51.06408934464589, 3.6888160990902414
Amanda Foketstraat;"{""coordinates"": [[[3.688790076865993, 51.06409715780354], [3.688798161703537, 51.06408975151377], [3.688821667021255, 51.06409994045452], [3.688813582183712, 51.0641073467427], [3.688790076865993, 51.06409715780354]]], ""type"": ""Polygon""}";3;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30025;;False;False;25009852_1;Amanda Foketstraat 3;2025-03-26T15:24:04Z;51.06409854912848, 3.688805871943374
Amanda Foketstraat;"{""coordinates"": [[[3.688403907295012, 51.0647043278338], [3.688406267169253, 51.064695463435676], [3.68843440509887, 51.064698437994124], [3.688432045224629, 51.06470730295622], [3.688403907295012, 51.0647043278338]]], ""type"": ""Polygon""}";29;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30034;;False;False;25009880_1;Amanda Foketstraat 29;2025-03-26T15:37:13Z;51.06470138307412, 3.6884191563410154
Amanda Foketstraat;"{""coordinates"": [[[3.688455595458136, 51.065332109425704], [3.688452513338361, 51.0653233326503], [3.688480371892014, 51.06531944867118], [3.688483453113391, 51.06532822601187], [3.688455595458136, 51.065332109425704]]], ""type"": ""Polygon""}";53;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst30039;;False;False;25009922_1;Amanda Foketstraat 53;2025-03-26T15:49:20Z;51.06532577914683, 3.688467983551795
Amanda Foketstraat;"{""coordinates"": [[[3.688488481882343, 51.065405287356285], [3.688484196918456, 51.065396713261336], [3.688511411379989, 51.06539131465175], [3.688515696343877, 51.065399888183165], [3.688488481882343, 51.065405287356285]]], ""type"": ""Polygon""}";57;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst30041;;False;False;25009927_1;Amanda Foketstraat 57;2025-03-26T15:52:06Z;51.06539830089677, 3.6884999464989137
Amanda Foketstraat;"{""coordinates"": [[[3.688413636947842, 51.06521732530741], [3.688411287853365, 51.0652084587494], [3.688439429376304, 51.06520549946614], [3.68844177847078, 51.065214365460164], [3.688413636947842, 51.06521732530741]]], ""type"": ""Polygon""}";47;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst30042;;False;False;25009915_1;Amanda Foketstraat 47;2025-03-26T15:46:17Z;51.06521141226485, 3.6884265330179553
Gustaaf Callierlaan;"{""coordinates"": [[[3.735302476115213, 51.03958312696732], [3.735328624276526, 51.039575954556206], [3.735342843709115, 51.03959656182013], [3.735316695547869, 51.03960373422806], [3.735302476115213, 51.03958312696732]]], ""type"": ""Polygon""}";252;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Actief;mob/ftsst30050;;False;False;25078065_1;Gustaaf Callierlaan 252;2025-04-02T09:28:19Z;51.03958984439272, 3.735322659912376
Oud-Strijderslaan;"{""coordinates"": [[[3.693998731665505, 51.05244579821387], [3.694004429679361, 51.05242818217675], [3.694039365160747, 51.052432669760655], [3.694033668943485, 51.05245028636071], [3.693998731665505, 51.05244579821387]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30052;;False;False;25078196_1;Oud-Strijderslaan 1;2025-04-07T12:37:12Z;51.05243923421459, 3.694019048889161
Albert Schweitzerstraat;"{""coordinates"": [[[3.689626214359348, 51.059427088404746], [3.689640272095259, 51.05941144492653], [3.68967130260013, 51.059422518501925], [3.689657244864219, 51.0594381619764], [3.689626214359348, 51.059427088404746]]], ""type"": ""Polygon""}";34;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30056;;False;False;25078552_1;Albert Schweitzerstraat 34;2025-04-07T12:35:14Z;51.059424803452124, 3.6896487584793674
Charlotte Despardstraat;"{""coordinates"": [[[3.689669171796282, 51.05985904381387], [3.689684510529721, 51.05984388547185], [3.689714577142306, 51.05985596731673], [3.689699240205461, 51.059871126219406], [3.689669171796282, 51.05985904381387]]], ""type"": ""Polygon""}";29;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30060;;False;False;25078566_1;Charlotte Despardstraat 29;2025-04-07T12:34:16Z;51.05985750576845, 3.68969187482805
Doorgang der Hallegasten;"{""coordinates"": [[[3.740782129279769, 51.04061662602447], [3.740768515311624, 51.04060082933476], [3.74079983597229, 51.04059010089014], [3.740813449940435, 51.04060589758352], [3.740782129279769, 51.04061662602447]]], ""type"": ""Polygon""}";10;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst30068;;False;False;25079176_1;Doorgang der Hallegasten 10;2025-04-07T12:24:09Z;51.04060336345796, 3.740790982626408
Fransevaart;"{""coordinates"": [[[3.740689231801264, 51.04026378644108], [3.740717659886743, 51.04026237095858], [3.740720466223675, 51.040284773534424], [3.740692039036527, 51.04028618901628], [3.740689231801264, 51.04026378644108]]], ""type"": ""Polygon""}";30;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst30069;;False;False;25079262_1;Fransevaart 30;2025-04-02T14:35:15Z;51.04027427992919, 3.740704849225073
Frans Ackermanstraat;"{""coordinates"": [[[3.732912880204372, 51.05281122331054], [3.732931498686948, 51.05280458205676], [3.732949061649066, 51.0528241382058], [3.732930443166491, 51.05283078002143], [3.732912880204372, 51.05281122331054]]], ""type"": ""Polygon""}";21;Nietje - Buitenmaats;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30080;;False;False;25134620_1;Frans Ackermanstraat 21;2025-04-08T14:40:08Z;51.05281768094412, 3.7329309709229994
Poel;"{""coordinates"": [[[3.717134368395799, 51.054523356565106], [3.717131141647358, 51.054505493995585], [3.717166568507158, 51.054502951879336], [3.717169796153995, 51.05452081388516], [3.717134368395799, 51.054523356565106]]], ""type"": ""Polygon""}";15;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst29987;;False;False;24580051_1;Poel 15;2025-06-03T17:41:18Z;51.05451315412863, 3.7171504686021173
Peerstraat;"{""coordinates"": [[[3.691868684193035, 51.060798884072696], [3.691875354184018, 51.0607814050204], [3.691910028255649, 51.06078665963334], [3.691903357366336, 51.06080413868364], [3.691868684193035, 51.060798884072696]]], ""type"": ""Polygon""}";62;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Uitvoering gepland;mob/ftsst30075;;False;False;25131732_1;Peerstraat 62;2025-09-23T11:50:26Z;51.06079277182, 3.691889356034349
Knokkestraat;"{""coordinates"": [[[3.712470333406966, 51.037589308699864], [3.712466521855215, 51.03759796985073], [3.712439045983925, 51.03759316450229], [3.712442857535676, 51.03758450165597], [3.712470333406966, 51.037589308699864]]], ""type"": ""Polygon""}";41;Nietje - Gewone fiet;Stad Gent;2;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst30094;;False;False;25197033_1;Knokkestraat 41;2025-09-29T08:10:20Z;51.03759123608622, 3.7124546892873194
Filips van Marnixstraat;"{""coordinates"": [[[3.717889290102704, 51.0406036371209], [3.7178756842194, 51.04058783703779], [3.717907009371718, 51.040577114803355], [3.717920617051617, 51.04059291432527], [3.717889290102704, 51.0406036371209]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Uitvoering gepland;mob/ftsst30086;;False;False;25188385_1;Filips van Marnixstraat 2;2025-09-29T14:30:14Z;51.04059037589348, 3.717898150256956
Kortrijksesteenweg;"{""coordinates"": [[[3.715707183462911, 51.038351969556786], [3.715680140579622, 51.038357673519776], [3.71566883348509, 51.038336361888206], [3.715695875470114, 51.03833065848745], [3.715707183462911, 51.038351969556786]]], ""type"": ""Polygon""}";242;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst30089;;False;False;25188722_1;Kortrijksesteenweg 242;2025-09-29T08:02:17Z;51.038344165941204, 3.7156880082514814
Sint-Kwintensberg;"{""coordinates"": [[[3.723108990586994, 51.04520804359841], [3.723131310128544, 51.04521923465552], [3.723109119944375, 51.04523682180717], [3.723086800402825, 51.045225631319106], [3.723108990586994, 51.04520804359841]]], ""type"": ""Polygon""}";48;Gent;Stad Gent;5;Ja;KWS;Rijweg;Uitvoering gepland;mob/ftsst30093;;False;False;25196410_1;Sint-Kwintensberg 48;2025-05-12T09:47:15Z;51.04522243279769, 3.723109055265258
Bij Sint-Jacobs;"{""coordinates"": [[[3.728577380674475, 51.056665909768746], [3.728588752447664, 51.05664942122437], [3.728680317724541, 51.05667450580776], [3.728668946849681, 51.05669099321387], [3.728577380674475, 51.056665909768746]]], ""type"": ""Polygon""}";15;Andere;Stad Gent;10;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30111;;False;False;25478367_1;Bij Sint-Jacobs 15;2025-05-15T14:19:19Z;51.0566702073575, 3.7286288488842434
Coupure;"{""coordinates"": [[[3.709941318065669, 51.05365431768822], [3.709913366087318, 51.05365073087803], [3.709920479846067, 51.053628710274204], [3.709948430926154, 51.053632296521414], [3.709941318065669, 51.05365431768822]]], ""type"": ""Polygon""}";362;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Voetpad;Actief;mob/ftsst30122;;False;False;25537083_1;Coupure 362;2025-08-20T12:25:05Z;51.05364151391439, 3.7099308987547803
Coupure;"{""coordinates"": [[[3.710183555070244, 51.0529181348857], [3.710155604888553, 51.052914548583175], [3.710162717748971, 51.05289252762929], [3.710190667930661, 51.05289611393352], [3.710183555070244, 51.0529181348857]]], ""type"": ""Polygon""}";312;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Voetpad;Actief;mob/ftsst30125;;False;False;25537086_1;COUPURE 312;2025-06-03T11:10:21Z;51.05290533125786, 3.7101731364094452
Coupure;"{""coordinates"": [[[3.710812149393726, 51.05102992258738], [3.710784801981488, 51.05102481425546], [3.710794932282956, 51.05100326845056], [3.710822279695194, 51.05100837565542], [3.710812149393726, 51.05102992258738]]], ""type"": ""Polygon""}";304;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Voetpad;Actief;mob/ftsst30124;;False;False;25537209_1;Coupure 304;2025-06-03T11:08:20Z;51.05101659528965, 3.710803540932889
Steendam;"{""coordinates"": [[[3.73011033235062, 51.05702635537951], [3.730081989605065, 51.057028392575354], [3.730077948084657, 51.057006065852605], [3.730106290830145, 51.05700402752651], [3.73011033235062, 51.05702635537951]]], ""type"": ""Polygon""}";56;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst30131;;False;False;25667157_1;Steendam 56;2025-08-18T07:33:18Z;51.05701621031175, 3.7300941403332506
Steendam;"{""coordinates"": [[[3.730115036827752, 51.05705257015336], [3.730086642878296, 51.057054295106184], [3.730083221195352, 51.05703192661305], [3.730111615144875, 51.05703020165939], [3.730115036827752, 51.05705257015336]]], ""type"": ""Polygon""}";56;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst30132;;False;False;25667156_1;Steendam 56;2025-08-18T07:33:18Z;51.05704224838298, 3.7300991290116543
Rijsenbergstraat;"{""coordinates"": [[[3.702320817882339, 51.04181577996063], [3.702306649653719, 51.04180567987565], [3.702333352075507, 51.04179079294965], [3.702347520304194, 51.041800893602684], [3.702320817882339, 51.04181577996063]]], ""type"": ""Polygon""}";141;Nietje - Buitenmaats;Stad Gent;2;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst30135;;False;False;25667787_1;Rijsenbergstraat 141;2025-06-10T11:10:10Z;51.04180328654391, 3.702327085029403
Rijsenbergstraat;"{""coordinates"": [[[3.702335720932919, 51.04182594217345], [3.702321552704232, 51.041815842090664], [3.702348256922681, 51.0418009551679], [3.702362423354708, 51.041811055818734], [3.702335720932919, 51.04182594217345]]], ""type"": ""Polygon""}";141;Nietje - Buitenmaats;Stad Gent;2;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst30137;;False;False;25667788_1;Rijsenbergstraat 141;2025-06-10T11:10:10Z;51.0418134487967, 3.7023419883606854
Rijsenbergstraat;"{""coordinates"": [[[3.702355275460004, 51.041834287363756], [3.702376306817449, 51.04182214433471], [3.702400382565391, 51.0418387166682], [3.702379352106276, 51.04185085856325], [3.702355275460004, 51.041834287363756]]], ""type"": ""Polygon""}";141;Gent;Stad Gent;5;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst30138;;False;False;25667763_1;Rijsenbergstraat 141;2025-06-10T11:10:10Z;51.041836501621134, 3.702377829140588
Duifhuisstraat;"{""coordinates"": [[[3.701801412883389, 51.040661870262475], [3.701825731176482, 51.04065248105026], [3.701844348760726, 51.04067164468854], [3.701820030467634, 51.040681033896874], [3.701801412883389, 51.040661870262475]]], ""type"": ""Polygon""}";70A;Gent;Stad Gent;5;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst30142;;False;False;25667800_1;Duifhuisstraat 70A;2025-06-10T11:09:10Z;51.04066675747424, 3.7018228808221814
Neermeerskaai;"{""coordinates"": [[[3.701696061161791, 51.04471903892155], [3.701677545087152, 51.04470536552131], [3.701704657140751, 51.04469077434401], [3.70172317501205, 51.04470444774857], [3.701696061161791, 51.04471903892155]]], ""type"": ""Polygon""}";274;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst30143;;False;False;25733568_1;Neermeerskaai 274;2025-06-11T18:55:16Z;51.044704906627445, 3.701700359752221
Neermeerskaai;"{""coordinates"": [[[3.701715805233463, 51.04472477937637], [3.701738434693744, 51.04471383896351], [3.701760129906178, 51.04473167085803], [3.701737500445897, 51.04474261239626], [3.701715805233463, 51.04472477937637]]], ""type"": ""Polygon""}";274;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst30144;;False;False;25733563_1;Neermeerskaai 274;2025-06-11T18:55:15Z;51.04472822549138, 3.701737967563761
Nekkersberglaan;"{""coordinates"": [[[3.696064103132415, 51.04565842574015], [3.696050942813537, 51.04564247658685], [3.696082568901417, 51.04563210624564], [3.696095730118624, 51.04564805540251], [3.696064103132415, 51.04565842574015]]], ""type"": ""Polygon""}";282;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Parkeerstrook;Actief;mob/ftsst30149;;False;False;25918955_1;Nekkersberglaan 282;2025-09-08T07:48:13Z;51.04564526601069, 3.696073336304709
Nekkersberglaan;"{""coordinates"": [[[3.69599413964314, 51.04568121822281], [3.695980540048082, 51.04566541648275], [3.696011874183505, 51.04565469994163], [3.696025473778564, 51.04567050168536], [3.69599413964314, 51.04568121822281]]], ""type"": ""Polygon""}";282;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Parkeerstrook;Actief;mob/ftsst30150;;False;False;25918845_1;Nekkersberglaan 282;2025-09-08T07:48:14Z;51.04566795908288, 3.6960030069137026
Nekkersberglaan;"{""coordinates"": [[[3.695979316542635, 51.045663513202605], [3.695966157122089, 51.0456475640511], [3.695997784108298, 51.04563719371098], [3.696010943528846, 51.04565314343089], [3.695979316542635, 51.045663513202605]]], ""type"": ""Polygon""}";282;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Parkeerstrook;Actief;mob/ftsst30151;;False;False;25918862_1;Nekkersberglaan 282;2025-09-08T07:48:14Z;51.04565035355914, 3.6959885503865952
Begijnengracht;"{""coordinates"": [[[3.711828090979449, 51.056158625455176], [3.711829337841087, 51.05614066413915], [3.711864961431984, 51.05614164661934], [3.711863713672015, 51.056159607370326], [3.711828090979449, 51.056158625455176]]], ""type"": ""Polygon""}";83;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Uitvoering gepland;mob/ftsst30113;;False;False;25514158_1;Begijnengracht 83;2025-09-01T13:21:19Z;51.05615013585422, 3.7118465258947393
Bagattenstraat;"{""coordinates"": [[[3.724526859092051, 51.04766724151157], [3.72449881638386, 51.04766396654288], [3.72450531030501, 51.04764187023992], [3.724533353911599, 51.04764514521017], [3.724526859092051, 51.04766724151157]]], ""type"": ""Polygon""}";143;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30157;;False;False;25929085_1;Bagattenstraat 143;2025-07-01T08:13:03Z;51.04765455582032, 3.7245160849504706
Pollepelstraat;"{""coordinates"": [[[3.72451115474426, 51.04771613559783], [3.724483205460833, 51.047712552845674], [3.724490310236411, 51.047690531112515], [3.724518259519837, 51.047694113866335], [3.72451115474426, 51.04771613559783]]], ""type"": ""Polygon""}";31;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30159;;False;False;25929082_1;Pollepelstraat 31;2025-07-01T08:13:03Z;51.04770333335553, 3.724500732490177
Baudelokaai;"{""coordinates"": [[[3.730473532898082, 51.05919659626238], [3.730483520367411, 51.059179755739976], [3.730516922424619, 51.05918762353433], [3.730506936751951, 51.059204463489266], [3.730473532898082, 51.05919659626238]]], ""type"": ""Polygon""}";9;Gent;Stad Gent;5;Ja;Betonstenen;Parkeerstrook;Actief;mob/ftsst30161;;False;False;25930715_1;Baudelokaai 9;2025-07-01T12:45:24Z;51.05919210977647, 3.730495227934917
Vroonstallestraat;"{""coordinates"": [[[3.709423744731601, 51.09100986392812], [3.709424618792377, 51.091000891160434], [3.70945311155658, 51.09100199138671], [3.709452238394069, 51.09101096302573], [3.709423744731601, 51.09100986392812]]], ""type"": ""Polygon""}";33;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30165;;False;False;26148365_1;Vroonstallestraat 33;2025-07-28T14:05:17Z;51.09100592738402, 3.7094384280599337
Cliviastraat;"{""coordinates"": [[[3.704541947338114, 51.07411689990534], [3.70456791673467, 51.07410944837154], [3.704582703004228, 51.07412989860146], [3.704556733607671, 51.074137350696404], [3.704541947338114, 51.07411689990534]]], ""type"": ""Polygon""}";21;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30177;;False;False;26155862_1;Cliviastraat 21;2025-09-29T17:50:13Z;51.07412339942985, 3.7045623251379354
Hofmeierstraat;"{""coordinates"": [[[3.709807238221361, 51.032096487825996], [3.709802953257406, 51.03208791434195], [3.709830146159411, 51.032082510718645], [3.709834431123298, 51.03209108363879], [3.709807238221361, 51.032096487825996]]], ""type"": ""Polygon""}";14;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30186;;False;False;26156784_1;Hofmeierstraat 14;2025-07-29T11:55:19Z;51.032089499165025, 3.7098186920581475
Hofmeierstraat;"{""coordinates"": [[[3.70981205229294, 51.03210564997264], [3.709807767329051, 51.032097075925385], [3.709834960230988, 51.0320916728681], [3.709839246093207, 51.03210024635145], [3.70981205229294, 51.03210564997264]]], ""type"": ""Polygon""}";12;Nietje - Gewone fiet;Stad Gent;2;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30184;;False;False;26156783_1;Hofmeierstraat 12;2025-07-29T11:55:19Z;51.032098661326, 3.7098235064079805
Scalastraat;"{""coordinates"": [[[3.712775191970004, 51.06098311860744], [3.712801355402668, 51.06097595120341], [3.712815571242001, 51.06099655967475], [3.712789407809404, 51.061003727075594], [3.712775191970004, 51.06098311860744]]], ""type"": ""Polygon""}";20;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30192;;False;False;26157143_1;Scalastraat 20;2025-09-29T08:54:40Z;51.060989839140106, 3.7127953816062145
Idealstraat;"{""coordinates"": [[[3.712050311722832, 51.06076048367183], [3.712040324253502, 51.0607436431537], [3.71207372720904, 51.060735775623776], [3.71208371467837, 51.060752616144754], [3.712050311722832, 51.06076048367183]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst30193;;False;False;26163939_1;Idealstraat 1;2025-09-29T08:55:13Z;51.06074812964835, 3.7120620194663125
Kliniekstraat;"{""coordinates"": [[[3.755517295496497, 51.043477132634955], [3.755545135185478, 51.04347323326794], [3.755552866086765, 51.04349517115684], [3.755525027296114, 51.04349907052201], [3.755517295496497, 51.043477132634955]]], ""type"": ""Polygon""}";17;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30205;;False;False;26198220_1;Kliniekstraat 17;2025-09-05T06:45:24Z;51.04348615184092, 3.755535080983893
Ter Luchteplein;"{""coordinates"": [[[3.714563751175389, 51.06377950600051], [3.714545992380569, 51.063765435137874], [3.714573904833048, 51.063751447260024], [3.714591663627934, 51.063765518126864], [3.714563751175389, 51.06377950600051]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Betonstenen;Fietspad/voetpad;Actief;mob/ftsst30209;;False;False;26198815_1;Ter Luchteplein 1;2025-09-29T08:54:38Z;51.06376547663096, 3.7145688280044937
Ter Luchteplein;"{""coordinates"": [[[3.714533192286061, 51.06379604450891], [3.71451504721569, 51.06378217180861], [3.71454256710437, 51.06376787964291], [3.71456071397147, 51.0637817523475], [3.714533192286061, 51.06379604450891]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Betonstenen;Fietspad/voetpad;Actief;mob/ftsst30210;;False;False;26198812_1;Ter Luchteplein 1;2025-09-29T08:54:38Z;51.06378196207386, 3.714537880295282
Tondelierlaan;"{""coordinates"": [[[3.714422191957981, 51.063563956672226], [3.714444207868979, 51.06355252220866], [3.71446689032989, 51.063569864157394], [3.714444874418959, 51.06358129748755], [3.714422191957981, 51.063563956672226]]], ""type"": ""Polygon""}";60;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst30211;;False;False;26198824_1;Tondelierlaan 60;2025-09-29T08:54:41Z;51.06356691003642, 3.7144445411395575
Nieuwland;"{""coordinates"": [[[3.730395675912446, 51.06243336451332], [3.730422883187403, 51.06242795652508], [3.730433612665202, 51.06244938748855], [3.730406404491847, 51.06245479603891], [3.730395675912446, 51.06243336451332]]], ""type"": ""Polygon""}";54B;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Niet-actief;mob/ftsst30213;;False;False;26199021_1;Nieuwland 54B;2025-09-24T08:31:10Z;51.06244137621924, 3.7304146440625816
Stekenevaardeken;"{""coordinates"": [[[3.730409341084492, 51.062460740362404], [3.730436831328869, 51.062455933641], [3.730446366945591, 51.062477588159865], [3.730418875802951, 51.06248239431449], [3.730409341084492, 51.062460740362404]]], ""type"": ""Polygon""}";1;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Niet-actief;mob/ftsst30214;;False;False;26199022_1;Stekenevaardeken 1;2025-09-24T08:31:10Z;51.06246916414654, 3.7304278538789877
Jeruzalemstraat;"{""coordinates"": [[[3.72262938095506, 51.04817270098656], [3.722615359151833, 51.04817106380246], [3.722620555905709, 51.04815338684154], [3.722634577709002, 51.04815502402624], [3.72262938095506, 51.04817270098656]]], ""type"": ""Polygon""}";9;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Voetpad;Actief;mob/ftsst30225;;False;False;26215918_1;Jeruzalemstraat 9;2025-09-05T06:41:26Z;51.048163043914165, 3.7226249684303716
